Date;Open;High;Low;Close;Adj Close;Volume
Sep 14, 2007;6,363.90;6,363.90;6,209.10;6,289.30;6,289.30;2,147,180,800
Sep 13, 2007;6,306.20;6,374.50;6,280.20;6,363.90;6,363.90;1,682,212,000
Sep 12, 2007;6,280.70;6,317.10;6,232.00;6,306.20;6,306.20;1,544,617,400
Sep 11, 2007;6,134.10;6,280.70;6,134.10;6,280.70;6,280.70;1,384,826,000
Sep 10, 2007;6,191.20;6,232.10;6,123.10;6,134.10;6,134.10;1,358,041,100
Sep 07, 2007;6,313.30;6,342.70;6,179.10;6,191.20;6,191.20;1,937,698,100
Sep 06, 2007;6,270.70;6,327.30;6,217.50;6,313.30;6,313.30;1,577,759,700
Sep 05, 2007;6,376.80;6,390.50;6,264.50;6,270.70;6,270.70;1,382,927,400
Sep 04, 2007;6,315.20;6,378.00;6,274.90;6,376.80;6,376.80;1,354,080,200
Sep 03, 2007;6,303.30;6,334.40;6,303.20;6,315.20;6,315.20;870,994,200
Aug 31, 2007;6,212.00;6,309.50;6,212.00;6,303.30;6,303.30;1,405,717,500
Aug 30, 2007;6,132.20;6,220.80;6,122.50;6,212.00;6,212.00;1,527,847,700
Aug 29, 2007;6,102.20;6,137.90;6,056.50;6,132.20;6,132.20;1,277,810,600
Aug 28, 2007;6,220.10;6,220.10;6,083.90;6,102.20;6,102.20;1,251,577,000
